,Ano,Genero,qtd,Idade
8268,2013,1,1284914,44 anos
4347,2039,0,1434019,14 anos
8157,2012,1,1275175,44 anos
11471,2042,1,1449835,30 anos
3745,2033,0,974888,67 anos
13517,2060,1,1287298,70 anos
7148,2003,1,1304195,35 anos
6484,2058,0,1441464,37 anos
3131,2028,0,1468494,18 anos
2048,2018,0,1529744,40 anos
5615,2050,0,1616319,53 anos
5455,2049,0,1277729,12 anos
11516,2042,1,1071170,68 anos
2464,2022,0,1571830,17 anos
11798,2045,1,1476967,25 anos
406,2003,0,2328672,60 a 64 anos
3991,2035,0,214846,86 anos
9249,2022,1,1677732,29 anos
7830,2009,1,1060639,49 anos
12482,2051,1,1419087,40 anos
5286,2047,0,1538833,56 anos
10970,2037,1,718614,75 anos
3757,2033,0,536208,77 anos
4982,2044,0,2506675,80 a 84 anos
5925,2053,0,1466681,34 anos
10761,2035,1,249239,85 anos
10296,2031,1,860815,69 anos
892,2008,0,1566733,2 anos
1758,2015,0,289675,76 anos
8490,2015,1,1298885,44 anos
6991,2001,1,-,89 anos
5952,2053,0,1585280,56 anos
13473,2060,1,1384474,34 anos
12325,2050,1,1189800,2 anos
9144,2021,1,1704993,34 anos
9958,2028,1,4355732,65 a 69 anos
3220,2029,0,7047528,0 a 4 anos
3297,2029,0,1011229,64 anos
2132,2019,0,1680518,18 anos
8551,2016,1,1506069,2 anos
13128,2057,1,1308999,24 anos
4765,2042,0,381273,84 anos
8497,2015,1,5561009,50 a 54 anos
6544,2058,0,439468,86 anos
8719,2017,1,5779573,50 a 54 anos
27,2000,0,1693367,21 anos
2210,2019,0,182857,82 anos
9689,2026,1,1657578,25 anos
8908,2019,1,1763479,22 anos
8031,2011,1,1632231,31 anos
9230,2022,1,1497910,13 anos
11925,2046,1,1456015,39 anos
2136,2019,0,1768404,21 anos
8530,2015,1,267745,77 anos
8567,2016,1,1688288,15 anos
10712,2035,1,1637793,45 anos
4504,2040,0,1597237,52 anos
8835,2018,1,1118955,54 anos
12460,2051,1,1364927,22 anos
2171,2019,0,1242330,50 anos
4219,2038,0,6459937,0 a 4 anos
11686,2044,1,7412226,25 a 29 anos
3071,2027,0,1109497,60 anos
132,2001,0,1842339,16 anos
3410,2030,0,994551,65 anos
3699,2033,0,1542782,29 anos
12773,2054,1,1181730,5 anos
5256,2047,0,1465142,31 anos
6731,2060,0,1427694,58 anos
4054,2036,0,1631483,47 anos
3247,2029,0,1501574,22 anos
9417,2023,1,389580,76 anos
4838,2043,0,1577836,53 anos
6227,2056,0,1188422,8 anos
11926,2046,1,7540448,40 a 44 anos
12196,2048,1,5434532,80 anos ou mais
7952,2010,1,753402,58 anos
2357,2021,0,1675033,20 anos
12783,2054,1,1247898,14 anos
5879,2052,0,356114,87 anos
12372,2050,1,1430532,41 anos
8026,2011,1,1732703,27 anos
1299,2011,0,571626,64 anos
4623,2041,0,1480214,59 anos
8342,2014,1,1690617,13 anos
9306,2022,1,369857,76 anos
11723,2044,1,1564634,55 anos
2990,2026,0,617114,85 a 89 anos
7829,2009,1,1095512,48 anos
11292,2040,1,1110760,66 anos
10491,2033,1,1645305,46 anos
1543,2013,0,159654,81 anos
8180,2012,1,628763,63 anos
3339,2030,0,1450899,6 anos
9314,2022,1,199663,82 anos
3520,2031,0,4688647,65 a 69 anos
5440,2049,0,5984802,0 a 4 anos
7197,2003,1,206480,76 anos
10769,2036,1,1293247,0 ano
194,2001,0,321496,68 anos
1576,2014,0,1780458,17 anos
7050,2002,1,953773,46 anos
13413,2059,1,1059341,76 anos
9890,2028,1,1499872,8 anos
5096,2045,0,512763,82 anos
8569,2016,1,1756303,17 anos
11212,2040,1,6354123,0 a 4 anos
6256,2056,0,1415527,32 anos
10692,2035,1,1520173,29 anos
10797,2036,1,1463937,24 anos
7456,2006,1,8883766,15 a 19 anos
2011,2018,0,7751948,10 a 14 anos
8632,2016,1,2003224,70 a 74 anos
4471,2040,0,7338836,25 a 29 anos
3807,2034,0,1479377,26 anos
3142,2028,0,1651006,27 anos
1879,2016,0,123851,84 anos
11844,2045,1,1370474,64 anos
3307,2029,0,675089,72 anos
9849,2027,1,887881,66 anos
3740,2033,0,1100705,63 anos
7000,2002,1,8787300,5 a 9 anos
8006,2011,1,1692654,10 anos
3665,2033,0,1328470,0 ano
8553,2016,1,1488756,4 anos
5209,2046,0,436664,84 anos
4412,2039,0,1019994,68 anos
12039,2047,1,1485596,41 anos
3609,2032,0,1644440,46 anos
4319,2038,0,403136,82 anos
6875,2000,1,-,85 a 89 anos
5311,2047,0,766179,77 anos
11246,2040,1,1454415,28 anos
9557,2025,1,1491071,8 anos
7076,2002,1,333198,68 anos
9419,2023,1,317419,78 anos
10001,2029,1,1489464,8 anos
11402,2041,1,1202394,65 anos
7384,2005,1,1012275,47 anos
1678,2015,0,8080135,10 a 14 anos
7622,2007,1,607913,60 anos
6775,2000,1,1804756,2 anos
640,2005,0,1403337,70 a 74 anos
4522,2040,0,1062992,67 anos
10044,2029,1,1655595,44 anos
2184,2019,0,883507,61 anos
8464,2015,1,1703408,22 anos
11688,2044,1,1491874,26 anos
2304,2020,0,590858,69 anos
3083,2027,0,718606,70 anos
7446,2006,1,1728533,6 anos
3910,2035,0,7399228,20 a 24 anos
3097,2027,0,277482,81 anos
